,Run #,Run #_EIS,Sample #,x (cm),y (cm),Pt (Atomic%),Pd (Atomic%),Au (Atomic%),Ir (Atomic%),iR drop (Ω),Notes,d_average,EN,IE,SE,d_band,IR,overP0,J0,Voc0,overP1,J1,Voc1,overP2,J2,Voc2,overP3,J3,Voc3,overP4,J4,Voc4
53,Run10-2,Run10-2,8,-1,2,0.2161,0.2553,0.429,0.1026,52.89,,9.5061,1.424049,8.94545,1.213318,-2.69715,82.4947,0.627646842,-0.537994179,1.29125834,0.6109885,-0.229271069,1.063272694,0.626167786,-0.306206917,1.031224022,0.633850571,-0.295501493,1.029189457,0.634628264,-0.249370437,1.059155634
54,Run10-2,Run10-2,9,0,2,0.1599,0.245,0.4481,0.1471,50.81,,9.3998,1.425313,8.931454,1.231934,-2.713742,88.22662,0.656425099,-1.058808543,1.381276885,0.587638626,-0.011905841,1.141234095,0.575492352,0.096611127,1.095194128,0.570867656,0.138523561,1.057215655,0.567131936,0.170774036,1.041298333
55,Run10-2,Run10-2,10,1,2,0.1157,0.2288,0.4342,0.2213,58.17,,9.2204,1.435067,8.937591,1.3037,-2.691724,,,,,,,,,,,,,,,,
56,Run10-2,Run10-2,11,2,2,0.0897,0.232,0.3647,0.3153,57.43,,8.9814,1.448957,8.933014,1.432398,-2.59,82.21868,0.536494405,-0.023863736,1.321264235,0.372450731,0.692158492,1.097287009,0.346840647,0.763841555,1.047278459,0.343479387,0.772193189,1.037261357,0.349031957,0.754001807,1.021272786
57,Run10-2,Run10-2,12,3,2,0.0674,0.2104,0.295,0.4272,61.62,,8.651,1.462156,8.913474,1.574004,-2.488274,86.69299,0.486429517,0.169965942,1.331208105,0.340218038,0.793442492,1.097280321,0.323985754,0.844685077,1.119292345,0.321722667,0.854555256,1.12726827,0.324294606,0.842517906,1.163117945
58,Run10-2,Run10-2,13,-3,1,0.4335,0.1981,0.328,0.0403,56.36,,9.4446,1.4199,8.925245,1.241638,-2.590611,63.84298,0.778896711,-0.785133834,1.151181252,0.775012811,-0.807821288,1.105238966,0.7550145,-1.01992437,1.10721445,0.755531435,-0.932684285,1.103272228,0.752509617,-0.823968482,1.089256714
59,Run10-2,Run10-2,14,-2,1,0.3259,0.1963,0.4102,0.0677,55.36,,9.472,1.42172,8.950621,1.203278,-2.695663,83.23702,0.707524368,-0.902677765,1.301165988,0.688409579,-0.531235593,1.101165988,0.69167572,-0.443612207,1.083298427,0.694247889,-0.431039964,1.063289762,0.693646545,-0.376768782,1.061263792
60,Run10-2,Run10-2,15,-1,1,0.2328,0.1835,0.4858,0.0979,55.17,,9.4735,1.424538,8.978375,1.173138,-2.795622,68.90058,0.717233491,-1.558031716,1.341279605,0.681066774,-0.56957918,1.111207673,0.687932269,-0.563205322,1.103250874,0.68588901,-0.494629063,1.067262863,0.683600354,-0.457634507,1.065286771
62,Run10-2,Run10-2,17,1,1,0.1246,0.168,0.5033,0.204,49.48,,9.2624,1.43711,8.992875,1.24709,-2.809978,76.68604,0.621077696,-0.599606822,1.381232056,0.512958498,0.313926773,1.119290568,0.502409141,0.367925614,1.07523474,0.492965821,0.407434183,1.067066874,0.490934335,0.420750531,1.069245323
63,Run10-2,Run10-2,18,2,1,0.0935,0.1705,0.4324,0.3036,77.26,,8.9957,1.449403,8.974074,1.379034,-2.70233,96.0726,0.603632595,-0.263842864,1.361281554,0.461546134,0.479945885,1.201208155,0.430353774,0.559894299,1.173291517,0.421935017,0.580571652,1.179081915,0.42031072,0.584289956,1.181228234
64,Run10-2,Run10-2,19,3,1,0.0711,0.1614,0.345,0.4226,81.13,,8.6621,1.465204,8.958204,1.540332,-2.575223,85.98869,0.507598855,0.049385666,1.301056652,0.344104815,0.781102463,0.989194234,0.323356915,0.847336834,0.99523869,0.320327615,0.852917866,0.981262595,0.325766478,0.832293531,1.043298375
65,Run10-2,Run10-2,20,-3,0,0.4831,0.1529,0.3268,0.0373,58.5,,9.406,1.42395,8.954707,1.24675,-2.608893,69.99062,0.802081179,-0.97636639,1.431267104,0.76362097,-0.399420502,1.171213912,0.752281828,-0.987132114,1.117216011,0.804846538,-0.210819311,1.117284112,0.762810643,-0.544322233,1.101286562
66,Run10-2,Run10-2,21,-2,0,0.3653,0.1601,0.4174,0.0572,59.51,,9.4631,1.423535,8.974008,1.19447,-2.721544,77.73178,0.74174818,-1.252032819,1.37123385,0.72706644,-0.964014623,1.111201281,0.731539372,-1.261707936,1.133290439,0.726925245,-1.101653972,1.07727155,0.723641003,-0.953400468,1.073274271
67,Run10-2,Run10-2,22,-1,0,0.2529,0.1478,0.5112,0.0881,68.58,,9.4828,1.426165,9.007269,1.1515,-2.845262,,,,,,,,,,,,,,,,
68,Run10-2,Run10-2,23,0,0,0.1751,0.1289,0.5691,0.1269,59.27,,9.4442,1.430976,9.035008,1.14234,-2.923617,74.78502,0.710974152,-0.763057519,1.421262234,0.680820841,-0.225087823,1.159228506,0.68386194,-0.18639853,1.119277864,0.680652561,-0.132853993,1.107280406,0.679083683,-0.092351769,1.095163891
69,Run10-2,Run10-2,24,1,0,0.1295,0.1213,0.5666,0.1826,80.33,,9.3227,1.437837,9.039602,1.189814,-2.915736,85.77643,0.679125641,-1.579573287,1.491179055,0.593898535,0.047552911,1.177286447,0.599737597,0.052976922,1.149265689,0.593948877,0.102838377,1.127262687,0.5887334,0.13669749,1.125111292
70,Run10-2,Run10-2,25,2,0,0.0971,0.124,0.504,0.2749,64.31,,9.0782,1.448999,9.021949,1.3096,-2.819674,92.86716,0.594660654,-0.37829997,1.391262853,0.44840714,0.490625313,1.157249945,0.453245428,0.492820984,1.129224128,0.445972248,0.520109686,1.095262853,0.441611258,0.535826317,1.10722097
71,Run10-2,Run10-2,26,3,0,0.0767,0.126,0.4065,0.3907,96.88,,8.7502,1.463363,8.994646,1.473962,-2.674672,85.31984,0.539617896,-0.24591862,1.371283619,0.360157787,0.729979485,1.11115069,0.344768625,0.77568187,1.119245139,0.346120066,0.769073754,1.115123388,0.353148034,0.745289546,1.125218434
